,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
17,C=C[C@@H](C1CCCCC1)n1ccc2ccccc21,TE,L,@@,S,C=CC(C1CCCCC1)n1ccc2ccccc21,C=C[C@H](C1CCCCC1)n1ccc2ccccc21
18,C=C[C@@H](CCC)S(=O)(=O)c1ccc(C)cc1,TE,F,@@,R,C=CC(CCC)S(=O)(=O)c1ccc(C)cc1,C=C[C@H](CCC)S(=O)(=O)c1ccc(C)cc1
19,C=C[C@H](CCC)S(=O)(=O)c1ccc(C)cc1,TE,L,@,S,C=CC(CCC)S(=O)(=O)c1ccc(C)cc1,C=C[C@@H](CCC)S(=O)(=O)c1ccc(C)cc1
20,C=C[C@@H](CCCCC)c1c[nH]c2ccc(Cl)cc12,TE,F,@@,R,C=CC(CCCCC)c1c[nH]c2ccc(Cl)cc12,C=C[C@H](CCCCC)c1c[nH]c2ccc(Cl)cc12
21,C=C[C@H](CCCCC)c1c[nH]c2ccc(Cl)cc12,TE,L,@,S,C=CC(CCCCC)c1c[nH]c2ccc(Cl)cc12,C=C[C@@H](CCCCC)c1c[nH]c2ccc(Cl)cc12
22,C=C[C@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,TE,F,@,S,C=CC(OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,C=C[C@@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1
23,C=C[C@@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,TE,L,@@,R,C=CC(OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,C=C[C@H](OC(=O)c1ccccc1)c1ccc(C(F)(F)F)cc1
24,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,TE,F,@@,R,C=CC1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1
25,C=C[C@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,TE,L,@,S,C=CC1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1,C=C[C@@H]1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1
26,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,TE,F,@@,R,C=CC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O
27,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,TE,L,@,S,C=CC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2cc(OC)ccc2N1S(C)(=O)=O
28,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,TE,F,@,S,C=CC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1
29,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,TE,L,@@,R,C=CC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(C)cc2O1
30,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,TE,F,@,S,C=CC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1
31,C=C[C@@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,TE,L,@@,R,C=CC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1,C=C[C@H]1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)c2ccc(CC)cc2O1
32,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,TE,F,@,S,C=CCC1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21
33,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,TE,L,@@,R,C=CCC1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(F)cccc21
34,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,TE,F,@,S,C=CCC1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21
35,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,TE,L,@@,R,C=CCC1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2c(OC(F)(F)F)cccc21
36,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,TE,F,@,S,C=CCC1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21
37,C=CC[C@@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,TE,L,@@,R,C=CCC1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21,C=CC[C@]1(COC(=O)OC(C)(C)C)C(=O)N(C)c2ccc(Cl)cc21
38,CC(=O)c1ccc([C@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,TE,F,@,R,CC(=O)c1ccc(C(C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,CC(=O)c1ccc([C@@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1
39,CC(=O)c1ccc([C@@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,TE,L,@@,S,CC(=O)c1ccc(C(C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1,CC(=O)c1ccc([C@H](C)CC(=O)NC(C)(C)c2ccc(-c3ccccc3)cn2)cc1
40,CC(=O)c1ccc([C@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,TE,F,@,R,CC(=O)c1ccc(C(CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,CC(=O)c1ccc([C@@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1
41,CC(=O)c1ccc([C@@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,TE,L,@@,S,CC(=O)c1ccc(C(CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1,CC(=O)c1ccc([C@H](CCc2cccc3ccccc23)CC(=O)NC(C)(C)c2ccccn2)cc1
42,CC(=O)c1cccc(C[C@@H]2CCON2C(=O)OC(C)(C)C)c1,TE,F,@@,R,CC(=O)c1cccc(CC2CCON2C(=O)OC(C)(C)C)c1,CC(=O)c1cccc(C[C@H]2CCON2C(=O)OC(C)(C)C)c1
43,CC(=O)c1cccc(C[C@H]2CCON2C(=O)OC(C)(C)C)c1,TE,L,@,S,CC(=O)c1cccc(CC2CCON2C(=O)OC(C)(C)C)c1,CC(=O)c1cccc(C[C@@H]2CCON2C(=O)OC(C)(C)C)c1
44,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccc(Cl)cc1,TE,F,@@,R,CC(=O)NC(CS(C)(=O)=O)c1ccc(Cl)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(Cl)cc1
