,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
569,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccc(C)cc32)c2ccccc21
570,C=C1C=C[C@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,TR,F,@,S,C=C1C=CC2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21
571,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccc(F)cc32)c2ccccc21
572,C=C1C=C[C@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,TR,F,@,S,C=C1C=CC2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21
573,C=C1C=C[C@@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccc(OC)cc32)c2ccccc21
574,C=C1C=C[C@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,TR,F,@,S,C=C1C=CC2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21
575,C=C1C=C[C@@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(C)c3cccc(C)c32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3cccc(C)c32)c2ccccc21
576,C=C1C=C[C@]2(C(=O)N(C)c3ccccc32)c2ccccc21,TR,F,@,S,C=C1C=CC2(C(=O)N(C)c3ccccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ccccc32)c2ccccc21
577,C=C1C=C[C@@]2(C(=O)N(C)c3ccccc32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(C)c3ccccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ccccc32)c2ccccc21
578,C=C1C=C[C@]2(C(=O)N(C)c3ncccc32)c2ccccc21,TR,F,@,S,C=C1C=CC2(C(=O)N(C)c3ncccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3ncccc32)c2ccccc21
579,C=C1C=C[C@@]2(C(=O)N(C)c3ncccc32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(C)c3ncccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3ncccc32)c2ccccc21
580,C=C1C=C[C@]2(C(=O)N(CC)c3ccccc32)c2ccccc21,TR,F,@,S,C=C1C=CC2(C(=O)N(CC)c3ccccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(CC)c3ccccc32)c2ccccc21
581,C=C1C=C[C@@]2(C(=O)N(CC)c3ccccc32)c2ccccc21,TR,L,@@,R,C=C1C=CC2(C(=O)N(CC)c3ccccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(CC)c3ccccc32)c2ccccc21
582,C=C1C=C[C@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,TR,F,@,S,C=C1C=CC2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,C=C1C=C[C@@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C
583,C=C1C=C[C@@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,TR,L,@@,R,C=C1C=CC2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C,C=C1C=C[C@]2(c3ccccc31)c1cc(OC)ccc1C(=O)N2C
584,C=C1C=C[C@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,TR,F,@,S,C=C1C=CC2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,C=C1C=C[C@@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3
585,C=C1C=C[C@@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,TR,L,@@,R,C=C1C=CC2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3,C=C1C=C[C@]2(c3ccccc31)c1cc3c(cc1C(=O)N2C)OCO3
586,C=C1C=C[C@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,TR,L,@,S,C=C1C=CC2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,C=C1C=C[C@@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1
587,C=C1C=C[C@@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,TR,F,@@,R,C=C1C=CC2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1,C=C1C=C[C@]2(c3ccccc31)c1ccccc1C(=O)N2Cc1ccccc1
588,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
589,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2c(C)cccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
590,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccsc1,TR,L,@,S,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)C1(CC)c1ccsc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccsc1
591,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccsc1,TR,F,@@,R,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)C1(CC)c1ccsc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccsc1
592,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
593,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
594,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)C1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1
595,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)C1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)c(C)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(CCc1cn(Cc2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(C)cc1
596,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccc(C(=O)OC)cc1,TR,L,@,R,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)C1(CC)c1ccc(C(=O)OC)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccc(C(=O)OC)cc1
597,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@]1(CC)c1ccc(C(=O)OC)cc1,TR,F,@@,S,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)C1(CC)c1ccc(C(=O)OC)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@]1(CC)c1ccc(C(=O)OC)cc1
598,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
599,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(C)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
600,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
601,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cc(F)ccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
602,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
603,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
604,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
605,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
606,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@,R,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)C1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1
607,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@@,S,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)C1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Br)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1
608,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
609,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(Cl)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
610,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
611,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(F)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
612,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
613,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccc(OC)cc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
614,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
615,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2cccc(C)c2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
616,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,L,@,R,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
617,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,TR,F,@@,S,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)C1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,C=C1c2ccccc2N(S(=O)(=O)C(F)(F)F)[C@H]1N(c1ccccc1)S(=O)(=O)c1ccc(C)cc1
618,C=C1C[C@](c2ccccc2)(C(F)(F)F)NC1=O,TR,F,@,S,C=C1CC(c2ccccc2)(C(F)(F)F)NC1=O,C=C1C[C@@](c2ccccc2)(C(F)(F)F)NC1=O
619,C=C1C[C@@](c2ccccc2)(C(F)(F)F)NC1=O,TR,L,@@,R,C=C1CC(c2ccccc2)(C(F)(F)F)NC1=O,C=C1C[C@](c2ccccc2)(C(F)(F)F)NC1=O
620,C=C[C@@H](/C=C/C)n1ccc2ccccc21,TR,L,@@,S,C=CC(C=CC)n1ccc2ccccc21,C=C[C@H](/C=C/C)n1ccc2ccccc21
621,C=C[C@H](/C=C/C)n1ccc2ccccc21,TR,F,@,R,C=CC(C=CC)n1ccc2ccccc21,C=C[C@@H](/C=C/C)n1ccc2ccccc21
622,C=C[C@@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,TR,F,@@,R,C=CC(CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,C=C[C@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1
623,C=C[C@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,TR,L,@,S,C=CC(CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1,C=C[C@@H](CCC)N(C(=O)OC(C)(C)C)C(=O)c1ccccc1
624,C=C[C@@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,TR,L,@@,R,C=CC(CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,C=C[C@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1
625,C=C[C@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,TR,F,@,S,C=CC(CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,C=C[C@@H](CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccccc2)c1
626,C=C[C@@H](CCCCC)c1c[nH]c2ccc(I)cc12,TR,F,@@,R,C=CC(CCCCC)c1c[nH]c2ccc(I)cc12,C=C[C@H](CCCCC)c1c[nH]c2ccc(I)cc12
627,C=C[C@H](CCCCC)c1c[nH]c2ccc(I)cc12,TR,L,@,S,C=CC(CCCCC)c1c[nH]c2ccc(I)cc12,C=C[C@@H](CCCCC)c1c[nH]c2ccc(I)cc12
628,C=C[C@@H](CCCCC)n1ccc2cc(C)ccc21,TR,L,@@,R,C=CC(CCCCC)n1ccc2cc(C)ccc21,C=C[C@H](CCCCC)n1ccc2cc(C)ccc21
629,C=C[C@H](CCCCC)n1ccc2cc(C)ccc21,TR,F,@,S,C=CC(CCCCC)n1ccc2cc(C)ccc21,C=C[C@@H](CCCCC)n1ccc2cc(C)ccc21
630,C=C[C@@H](CCCCC)n1ccc2cc(F)ccc21,TR,L,@@,R,C=CC(CCCCC)n1ccc2cc(F)ccc21,C=C[C@H](CCCCC)n1ccc2cc(F)ccc21
631,C=C[C@H](CCCCC)n1ccc2cc(F)ccc21,TR,F,@,S,C=CC(CCCCC)n1ccc2cc(F)ccc21,C=C[C@@H](CCCCC)n1ccc2cc(F)ccc21
632,C=C[C@@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,TR,L,@@,S,C=CC(CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,C=C[C@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1
633,C=C[C@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,TR,F,@,R,C=CC(CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1,C=C[C@@H](CNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)CC(=O)c1ccccc1
634,C=C[C@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,TR,F,@,R,C=CC(CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,C=C[C@@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1
635,C=C[C@@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,TR,L,@@,S,C=CC(CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1,C=C[C@](CSc1nc2cc(Cl)ccc2s1)(CN(C)C(c1ccccc1)c1ccccc1)OCc1ccccc1
636,C=C[C@@]1(C)c2c(C)cccc2C(=O)N1OC,TR,L,@@,S,C=CC1(C)c2c(C)cccc2C(=O)N1OC,C=C[C@]1(C)c2c(C)cccc2C(=O)N1OC
637,C=C[C@]1(C)c2c(C)cccc2C(=O)N1OC,TR,F,@,R,C=CC1(C)c2c(C)cccc2C(=O)N1OC,C=C[C@@]1(C)c2c(C)cccc2C(=O)N1OC
638,C=C[C@@]1(C)c2cc(Cl)ccc2C(=O)N1OC,TR,L,@@,S,C=CC1(C)c2cc(Cl)ccc2C(=O)N1OC,C=C[C@]1(C)c2cc(Cl)ccc2C(=O)N1OC
639,C=C[C@]1(C)c2cc(Cl)ccc2C(=O)N1OC,TR,F,@,R,C=CC1(C)c2cc(Cl)ccc2C(=O)N1OC,C=C[C@@]1(C)c2cc(Cl)ccc2C(=O)N1OC
640,C=C[C@@]1(C)c2cc(F)ccc2C(=O)N1OC,TR,L,@@,S,C=CC1(C)c2cc(F)ccc2C(=O)N1OC,C=C[C@]1(C)c2cc(F)ccc2C(=O)N1OC
641,C=C[C@]1(C)c2cc(F)ccc2C(=O)N1OC,TR,F,@,R,C=CC1(C)c2cc(F)ccc2C(=O)N1OC,C=C[C@@]1(C)c2cc(F)ccc2C(=O)N1OC
642,C=C[C@@]1(C)c2ccc(OC)cc2C(=O)N1OC,TR,L,@@,S,C=CC1(C)c2ccc(OC)cc2C(=O)N1OC,C=C[C@]1(C)c2ccc(OC)cc2C(=O)N1OC
643,C=C[C@]1(C)c2ccc(OC)cc2C(=O)N1OC,TR,F,@,R,C=CC1(C)c2ccc(OC)cc2C(=O)N1OC,C=C[C@@]1(C)c2ccc(OC)cc2C(=O)N1OC
644,C=C[C@@]1(C)c2cccc(OC)c2C(=O)N1OC,TR,L,@@,S,C=CC1(C)c2cccc(OC)c2C(=O)N1OC,C=C[C@]1(C)c2cccc(OC)c2C(=O)N1OC
645,C=C[C@]1(C)c2cccc(OC)c2C(=O)N1OC,TR,F,@,R,C=CC1(C)c2cccc(OC)c2C(=O)N1OC,C=C[C@@]1(C)c2cccc(OC)c2C(=O)N1OC
646,C=C[C@@]1(C)c2ccccc2C(=O)N1c1ccccc1,TR,L,@@,S,C=CC1(C)c2ccccc2C(=O)N1c1ccccc1,C=C[C@]1(C)c2ccccc2C(=O)N1c1ccccc1
647,C=C[C@]1(C)c2ccccc2C(=O)N1c1ccccc1,TR,F,@,R,C=CC1(C)c2ccccc2C(=O)N1c1ccccc1,C=C[C@@]1(C)c2ccccc2C(=O)N1c1ccccc1
648,C=C[C@@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,TR,L,@@,S,C=CC1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,C=C[C@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1
649,C=C[C@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,TR,F,@,R,C=CC1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1,C=C[C@@]1(C)c2ccccc2C(=O)N1Cc1ccccc1-c1ccccc1
650,C=C[C@@]1(C)c2ccccc2C(=O)N1OC,TR,L,@@,S,C=CC1(C)c2ccccc2C(=O)N1OC,C=C[C@]1(C)c2ccccc2C(=O)N1OC
651,C=C[C@]1(C)c2ccccc2C(=O)N1OC,TR,F,@,R,C=CC1(C)c2ccccc2C(=O)N1OC,C=C[C@@]1(C)c2ccccc2C(=O)N1OC
652,C=C[C@@]1(C)c2ccccc2C(=O)N1OCc1ccccc1,TR,L,@@,S,C=CC1(C)c2ccccc2C(=O)N1OCc1ccccc1,C=C[C@]1(C)c2ccccc2C(=O)N1OCc1ccccc1
653,C=C[C@]1(C)c2ccccc2C(=O)N1OCc1ccccc1,TR,F,@,R,C=CC1(C)c2ccccc2C(=O)N1OCc1ccccc1,C=C[C@@]1(C)c2ccccc2C(=O)N1OCc1ccccc1
654,C=C[C@@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,TR,L,@@,R,C=CC1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,C=C[C@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1
655,C=C[C@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,TR,F,@,S,C=CC1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1,C=C[C@@]1(C)CC(c2ccccc2)=NN1S(=O)(=O)c1ccc(C)cc1
